fips,countyname,stateabbr,ACCESS2,BINGE,CHD,CSMOKING,DIABETES,LPA,MHLTH,OBESITY,SLEEP,NAME,poverty_count,unemployed_count,labor_force_count,median_household_income,bachelors_degree_count,median_age,total_health_insurance,uninsured_count,black_pop,white_pop,total_pop,state,county,pct_uninsured,pct_bachelors,pct_black,pct_poverty,pct_unemployed
01001,Autauga,AL,9.7,15.7,6.1,17.2,15.8,32.9,18.2,42.6,36.2,"Autauga County, Alabama",6630,752,28106,68315,6726,39.0,57443,20,11496,43747,58761,01,001,0.0340361804598288,11.446367488640425,19.563996528309595,11.282993822433246,2.6755852842809364
01003,Baldwin,AL,8.9,14.1,8.8,26.8,17.3,22.2,15.9,32.8,31.2,"Baldwin County, Alabama",23445,3825,111766,71039,33474,43.7,230074,441,19445,195998,233420,01,003,0.18892982606460457,14.34067346414189,8.330477251306657,10.044126467312141,3.422328794087647
01005,Barbour,AL,11.6,11.4,9.5,24.6,18.6,38.6,20.1,47.7,40.8,"Barbour County, Alabama",5280,516,8968,39712,1167,40.6,21892,6,11668,11309,24877,01,005,0.024118663826024036,4.691080114161675,46.90276158700808,21.224424166901155,5.753791257805531
01007,Bibb,AL,15.3,13.9,9.0,24.0,22.7,28.2,18.0,47.8,40.9,"Bibb County, Alabama",4297,786,9028,50669,1047,40.3,20850,0,4603,16872,22251,01,007,0.0,4.705406498584333,20.68671070963103,19.311491618354232,8.706247230837395
01009,Blount,AL,11.1,15.1,8.7,19.5,13.5,34.9,18.7,36.1,36.2,"Blount County, Alabama",8277,1578,26459,57440,3840,40.8,58587,100,729,53941,59077,01,009,0.16927061292888942,6.499991536469353,1.2339827682516038,14.010528632124178,5.96394421557882
01011,Bullock,AL,11.9,10.0,9.5,33.0,24.0,43.9,22.5,53.5,54.1,"Bullock County, Alabama",2687,144,3888,36136,492,39.2,9640,20,7117,2397,10328,01,011,0.19364833462432224,4.763749031758327,68.90975987606507,26.016653756777693,3.7037037037037033
01013,Butler,AL,12.6,11.6,6.9,21.8,17.4,42.5,16.6,41.6,37.8,"Butler County, Alabama",3937,548,8047,44429,1029,41.6,18686,0,8462,9777,18981,01,013,0.0,5.421210684368579,44.58142352879195,20.741794426004954,6.8099913011060025
01015,Calhoun,AL,7.7,13.7,8.9,14.0,12.0,29.6,17.8,40.3,40.3,"Calhoun County, Alabama",20267,3692,53521,54339,9098,39.2,114576,79,25631,83306,116162,01,015,0.06800847092853084,7.832165424149033,22.064874916065495,17.447185826690312,6.898226864221521
01017,Chambers,AL,10.2,13.1,8.8,13.8,17.7,36.5,19.3,42.0,38.7,"Chambers County, Alabama",6080,559,15691,48805,2273,42.2,34130,50,14114,19642,34612,01,017,0.14445856928232984,6.567086559574714,40.777764937016066,17.56616202473131,3.5625517812758902
01019,Cherokee,AL,10.1,14.1,7.7,19.5,13.8,32.2,19.3,40.2,35.4,"Cherokee County, Alabama",3516,425,10713,46621,1530,46.8,24779,3,1008,22884,25069,01,019,0.011966971159599505,6.103155291395748,4.020902309625434,14.02529019905062,3.9671427237935224
01021,Chilton,AL,10.8,15.4,6.4,19.0,15.2,36.6,18.6,39.7,35.0,"Chilton County, Alabama",6422,1056,19921,62471,2504,39.9,44781,0,4257,36693,45140,01,021,0.0,5.5471865307930885,9.430660168365087,14.226849800620291,5.30093870789619
01023,Choctaw,AL,10.9,12.1,9.9,18.9,17.4,37.0,17.7,44.9,46.5,"Choctaw County, Alabama",2388,249,4781,43299,873,46.7,12543,0,5062,7180,12669,01,023,0.0,6.890835898650248,39.95579761622859,18.84915936538006,5.208115457017361
01025,Clarke,AL,10.0,11.3,8.7,16.9,18.0,34.0,17.1,43.9,40.1,"Clarke County, Alabama",5073,1116,8967,47549,1346,42.7,22750,6,10490,11862,23058,01,025,0.026021337496747333,5.837453378436985,45.49397172347992,22.00104085349987,12.445633991301438
01027,Clay,AL,9.3,12.5,8.3,20.1,18.4,28.3,18.6,40.3,40.3,"Clay County, Alabama",2440,315,5513,48074,926,43.9,13919,0,1790,11581,14209,01,027,0.0,6.516996269969738,12.597649377155323,17.172214793440777,5.713767458733901
01029,Cleburne,AL,11.9,14.3,8.0,20.5,15.7,27.5,17.8,39.5,37.0,"Cleburne County, Alabama",1931,152,5844,51553,1172,42.2,14989,8,411,14028,15144,01,029,0.05282620179609086,7.739038563127311,2.7139461172741677,12.750924458531433,2.6009582477754964
01031,Coffee,AL,11.7,15.1,9.7,22.0,21.8,26.0,20.0,44.1,40.8,"Coffee County, Alabama",8592,1095,24401,62199,4786,39.2,51466,81,8997,38834,53559,01,031,0.1512350865400773,8.935939804701357,16.79829720495155,16.04212177225116,4.487521003237572
01033,Colbert,AL,10.3,15.2,10.5,20.2,13.2,26.2,14.5,39.2,39.6,"Colbert County, Alabama",8998,903,26546,56149,4578,42.0,56784,17,9185,44698,57270,01,033,0.02968395320412083,7.993713986380303,16.03806530469705,15.71154181945172,3.401642432004822
01035,Conecuh,AL,11.4,10.0,9.7,18.4,22.0,38.4,17.3,44.7,43.8,"Conecuh County, Alabama",2122,171,3928,39888,642,46.2,11518,0,5611,5751,11576,01,035,0.0,5.545957152729786,48.47097442985488,18.33102971665515,4.35336048879837
01037,Coosa,AL,10.5,13.9,9.1,19.3,19.5,31.5,16.2,40.0,44.2,"Coosa County, Alabama",1102,178,4096,52279,578,50.2,9919,11,3120,6859,10329,01,037,0.10649627263045794,5.595895052764063,30.20621550972989,10.668990221705876,4.345703125
01039,Covington,AL,11.7,12.8,7.9,18.8,13.7,33.4,20.2,37.4,33.5,"Covington County, Alabama",6921,877,16001,48772,2585,42.9,37040,161,4606,31404,37542,01,039,0.4288530179532258,6.885621437323532,12.26892547014011,18.43535240530606,5.480907443284795
01041,Crenshaw,AL,11.3,12.8,9.2,16.9,16.2,31.3,17.7,39.9,40.1,"Crenshaw County, Alabama",1916,332,5492,48557,1092,42.3,12929,43,3059,9386,13205,01,041,0.3256342294585384,8.26959485043544,23.16546762589928,14.5096554335479,6.04515659140568
01043,Cullman,AL,10.1,15.4,8.7,12.6,12.8,22.7,15.9,34.7,36.2,"Cullman County, Alabama",11364,1789,41231,58119,7463,41.4,87442,145,960,81077,88284,01,043,0.16424267137873227,8.453400389651579,1.0873997553350552,12.872094603778713,4.338968252043365
01045,Dale,AL,10.4,10.0,9.3,17.7,16.8,32.1,17.7,44.5,41.5,"Dale County, Alabama",8469,1527,21870,52813,4360,37.7,46837,54,10416,34817,49455,01,045,0.1091901728844404,8.816095440299263,21.061571125265395,17.124658780709737,6.982167352537723
01047,Dallas,AL,14.2,10.3,9.7,15.6,17.5,36.6,16.2,45.1,43.7,"Dallas County, Alabama",10230,1445,15804,37180,2633,40.4,38031,0,26467,10634,38326,01,047,0.0,6.870009914940249,69.0575588373428,26.692062829410844,9.143254872184258
01049,DeKalb,AL,12.4,14.1,8.9,22.3,14.5,38.5,20.3,35.9,41.6,"DeKalb County, Alabama",14251,1258,32124,47920,3996,39.6,70836,191,1043,59102,71680,01,049,0.2664620535714286,5.5747767857142865,1.455078125,19.881417410714285,3.9160752085668036
01051,Elmore,AL,10.8,13.9,6.6,10.7,13.7,30.6,17.0,46.4,45.7,"Elmore County, Alabama",7986,1700,41512,73258,9637,38.9,82845,54,18276,64769,87694,01,051,0.06157775902570302,10.989349328346295,20.84065044358793,9.106666362578968,4.0952013875505875
01053,Escambia,AL,10.4,14.9,9.1,16.3,17.2,34.5,17.3,40.6,41.3,"Escambia County, Alabama",7449,1313,14277,41153,2168,40.5,34273,64,11138,22762,36755,01,053,0.17412596925588356,5.898517208543056,30.303360087062988,20.26663039042307,9.196609932058555
01055,Etowah,AL,18.0,14.0,11.1,22.2,18.2,48.3,18.0,43.7,41.8,"Etowah County, Alabama",16146,2847,47374,52177,7840,41.9,102350,64,15724,80555,103348,01,055,0.0619266942756512,7.586020048767272,15.214614699849054,15.622943840229128,6.009625532992781
01057,Fayette,AL,12.7,15.0,8.9,17.0,14.9,37.6,17.1,44.0,38.8,"Fayette County, Alabama",3543,672,6972,45650,943,43.7,16096,22,2074,13727,16297,01,057,0.13499417070626496,5.7863410443639935,12.726268638399704,21.740197582377125,9.63855421686747
01059,Franklin,AL,24.7,15.6,7.1,24.0,16.8,26.1,19.4,44.8,36.5,"Franklin County, Alabama",5246,536,14005,47359,2204,39.3,31750,126,1360,24853,32011,01,059,0.39361469494861145,6.885133235450313,4.248539564524695,16.38811658492393,3.827204569796501
01061,Geneva,AL,12.0,14.5,9.8,21.2,19.3,36.7,18.5,40.1,41.4,"Geneva County, Alabama",5480,437,11382,47608,1842,43.6,26330,25,2472,22360,26647,01,061,0.09381919165384471,6.912598041055277,9.276841670732166,20.56516681052276,3.8393955368125106
01063,Greene,AL,12.7,9.6,10.4,22.1,32.7,41.7,22.1,52.6,47.8,"Greene County, Alabama",2504,111,2466,32796,579,41.1,7629,5,6305,1333,7706,01,063,0.06488450558006749,7.513625746171815,81.8193615364651,32.4941603944978,4.5012165450121655
